director_id,director_name,director_facebook_like
511,"John Gray",29
512,"John Schultz",13
513,"Sean Penn",0
514,"Susan Stroman",38
515,"Simon Wincer",23
516,"Billy Bob Thornton",0
517,"Danny Pang",15
518,"George P. Cosmatos",170
519,"Oliver Parker",32
520,"Lawrence Kasanoff",11
521,"Ben Affleck",0
522,"Brian Gibson",13
523,"Norman Ferguson",3
524,"Michael Cimino",517
525,"Paul McGuigan",118
526,"Gus Van Sant",835
527,"Roger Kumble",16
528,"Burr Steers",23
529,"John Hamburg",29
530,"Reginald Hudlin",71
531,"Joseph L. Mankiewicz",311
532,"Barbra Streisand",0
533,"Mark Pellington",89
534,"John Glen",46
535,"Catherine Hardwicke",308
536,"John Herzfeld",17
537,"Annabel Jankel",5
538,"Julie Anne Robinson",30
539,"Evan Goldberg",133
540,"Sngmoo Lee",19
541,"Jamel Debbouze",326
542,"Gordon Chan",4
543,"Asger Leth",20
544,"John G. Avildsen",80
545,"Anne Fletcher",98
546,"Bruce Beresford",78
547,"Sam Taylor-Johnson",456
548,"Ken Kwapis",42
549,"Wes Craven",0
550,"Etan Cohen",164
551,"Nick Cassavetes",415
552,"Nicholas Stoller",89
553,"Mark A.Z. Dippí©",20
554,"Cal Brunker",7
555,"Nimrí_d Antal",190
556,"Alejandro Agresti",18
557,"Peter Hedges",54
558,"Paul Weiland",10
559,"Colin Strause",25
560,"Joan Chen",643
561,"Greg Mottola",99
562,"Jake Kasdan",52
563,"Diane Keaton",0
564,"Kelly Makin",6
565,"Stephen Daldry",335
566,"Christian Duguay",18
567,"Justin Chadwick",56
568,"Pat O'Connor",7
569,"Frederik Du Chau",7
570,"Irwin Winkler",34
571,"Joseph Kahn",33
572,"Sofia Coppola",0
573,"Stephen Kay",19
574,"J.A. Bayona",171
575,"Elaine May",124
576,"Dennie Gordon",29
577,"Charles Shyer",14
578,"Ulu Grosbard",22
579,"William Malone",37
580,"Malcolm D. Lee",92
581,"Jerry Jameson",5
582,"Mic Rodgers",7
583,"Christian Alvart",22
584,"Jean-Marie Poirí©",8
585,"Marc F. Adler",0
586,"Geoffrey Sax",13
587,"Richard Shepard",47
588,"Peter Ho-Sun Chan",31
589,"Joon-ho Bong",584
590,"Jeff Nathanson",23
591,"S.S. Rajamouli",50
592,"Charles S. Dutton",534
593,"Jonathan Lynn",36
594,"David Carson",18
595,"Kar-Wai Wong",0
596,"Yuefeng Song",0
597,"Norman Jewison",278
598,"David Mirkin",7
599,"Luis Mandoki",43
600,"Lee Daniels",304
601,"Jeb Stuart",11
602,"Steve Miner",49
603,"Paul Thomas Anderson",0
604,"David Leland",2
605,"J Blakeson",5
606,"Ryan Coogler",0
607,"Kirk Jones",52
608,"Ethan Coen",1000
609,"Jennifer Flackett",3
610,"Kevin Smith",0
611,"Christian Ditter",11
612,"Charles Martin Smith",188
613,"Fedor Bondarchuk",35
614,"Irvin Kershner",883
615,"Steve Pink",38
616,"Scott Hicks",96
617,"Chris Rock",0
618,"Wilson Yip",25
619,"Robert Wise",338
620,"Kevin Rodney Sullivan",8
621,"Kevin Munroe",14
622,"Michael Tollin",19
623,"Patrick Tatopoulos",148
624,"Gary David Goldberg",30
625,"Tobe Hooper",365
626,"Alan Poul",16
627,"Luke Greenfield",42
628,"Gil Junger",19
629,"Michael Ritchie",23
630,"Steven E. de Souza",133
631,"Alexandre Aja",192
632,"Michael Rymer",48
633,"Hugh Wilson",37
634,"Mike Hodges",24
635,"Scott Mann",8
636,"Susanna White",24
637,"Chris Carter",251
638,"Tommy O'Haver",13
639,"Peter Landesman",15
640,"Gary Chapman",2
641,"Craig Mazin",82
642,"Allen Hughes",90
643,"Kimble Rendall",0
644,"Peter Yates",170
645,"Lasse Hallstrí?m",529
646,"Jean-Marc Vallí©e",212
647,"Hark Tsui",85
648,"David Ayer",453
649,"Lexi Alexander",189
650,"Ronny Yu",31
651,"Bille August",55
652,"Moustapha Akkad",278
653,"Jean-Paul Rappeneau",22
654,"Joachim RíŸnning",18
655,"Tony Kaye",194
656,"Ken Scott",31
657,"Hugh Johnson",3
658,"Hayao Miyazaki",6000
659,"George Tillman Jr.",88
660,"Rand Ravich",7
661,"Hugh Hudson",46
662,"Jeremy Degruson",0
663,"Chris Gorak",21
664,"Scott Speer",35
665,"Joe Charbanic",10
666,"Jonathan Hensleigh",36
667,"Danny Cannon",41
668,"Boaz Yakin",132
669,"Richard Marquand",37
670,"Neil Marshall",197
671,"David Wain",136
672,"Jared Hess",100
673,"Rupert Wainwright",9
674,"John Luessenhop",34
675,"Justin Zackham",16
676,"John Gatins",61
677,"Miguel Sapochnik",238
678,"Hyung-rae Shim",26
679,"Don Scardino",35
680,"Tim Robbins",0
681,"Tom Reeve",0
682,"Nanette Burstein",8
683,"Ariel Vromen",34
684,"Lewis Gilbert",43
685,"John Francis Daley",0
686,"J.B. Rogers",6
687,"Michael Sucsy",23
688,"Tom Vaughan",12
689,"Stephen Hillenburg",47
690,"Stig Bergqvist",0
691,"Jason Reitman",655
692,"Alexander Payne",729
693,"Jonathan Levine",129
694,"Rian Johnson",0
695,"Chris Noonan",108
696,"Michael McCullers",5
697,"Forest Whitaker",0
698,"Woody Allen",11000
699,"Peter Lepeniotis",7
700,"Ted Demme",47
701,"William Shatner",0
702,"Steve Box",9
703,"James Gartner",0
704,"Lee Toland Krieger",43
705,"Tim McCanlies",23
706,"Drew Goddard",246
707,"Jason Friedberg",82
708,"Paul Michael Glaser",343
709,"John R. Leonetti",40
710,"Tom Hanks",15000
711,"Kimberly Peirce",108
712,"Liz Friedlander",3
713,"Phil Joanou",21
714,"Shane Acker",30
715,"Martha Coolidge",57
716,"Stephen J. Anderson",15
717,"Troy Miller",14
718,"Tate Taylor",150
719,"Brett Leonard",32
720,"Alister Grierson",24
721,"Nick Hurran",34
722,"Charles Stone III",30
723,"Paul Haggis",549
724,"Kurt Wimmer",110
725,"Jean-Franí?ois Richet",25
726,"Kevin Hooks",114
727,"Ellory Elkayem",11
728,"Niki Caro",51
729,"Vincenzo Natali",165
730,"Willard Huyck",8
731,"Gavin O'Connor",149
732,"Bruce Hunt",2
733,"Chris Roberts",38
734,"Jee-woon Kim",419
735,"Nick Hamm",6
736,"Andy Cadiff",3
737,"Mike Disa",6
738,"Richard J. Lewis",12
739,"Sergio Leone",0
740,"Niels Arden Oplev",76
741,"Michael Radford",53
742,"Steve Boyum",9
743,"Kaige Chen",45
744,"Corey Yuen",23
745,"Andrew Dominik",181
746,"Li Zhang",0
747,"Laurent Tirard",2
748,"Reinhard Klooss",7
749,"Frí©dí©ric Auburtin",18
750,"Olivier Dahan",61
751,"Maksim Fadeev",0
752,"Liliana Cavani",59
753,"Greg Tiernan",5
754,"Elizabeth Banks",0
755,"Edward Norton",0
756,"Ben Falcone",265
757,"Richard Attenborough",0
758,"Don Mancini",64
759,"John Maybury",11
760,"Igor Kovalyov",5
761,"Shinji Aramaki",21
762,"Miguel Arteta",44
763,"James Gray",115
764,"Janusz Kaminski",710
765,"Robert B. Weide",53
766,"Jeff Wadlow",65
767,"Agustí_n Dí_az Yanes",13
768,"Camille Delamarre",11
769,"David Lean",767
770,"Richard Eyre",14
771,"Nicholas Meyer",120
772,"Callie Khouri",144
773,"Sanaa Hamri",43
774,"Todd Graff",650
775,"Philip Kaufman",133
776,"Saul Dibb",10
777,"Walter Murch",181
778,"Richard Linklater",0
779,"E. Elias Merhige",54
780,"Menno Meyjes",43
781,"Jodie Foster",0
782,"Scott Frank",71
783,"Kevin Allen",8
784,"Michael Cristofer",49
785,"Andrew Morahan",5
786,"Bob Rafelson",30
787,"Michael Cohn",2
788,"Alan Shapiro",0
789,"Fernando Meirelles",353
790,"Michael Hoffman",97
791,"Oleg Stepchenko",0
792,"Michael Winterbottom",187
793,"Michael Pressman",34
794,"Sharon Maguire",11
795,"Charles Herman-Wurmfeld",0
796,"Gabor Csupo",47
797,"Tyler Perry",0
798,"Joe Carnahan",248
799,"John Polson",21
800,"Bernardo Bertolucci",973
801,"Cathy Malkasian",0
802,"John Eng",0
803,"Chris Nahon",20
804,"Fred Wolf",29
805,"Bille Woodruff",23
806,"Victor Salva",108
807,"Mark Helfrich",7
808,"Steve Bendelack",68
809,"Dwight H. Little",27
810,"Guillaume Canet",0
811,"Kirsten Sheridan",59
812,"Richard Fleischer",130
813,"Bob Spiers",14
814,"Damien Dante Wayans",82
815,"John Wells",53
816,"Tim Fywell",3
817,"Nigel Cole",13
818,"Dexter Fletcher",452
819,"Jeremy Leven",19
820,"Sylvain White",41
821,"Troy Nixey",24
822,"Philip G. Atwell",5
823,"Jeff Schaffer",17
824,"Don Michael Paul",70
825,"James Bridges",21
826,"Steve Barron",48
827,"Bill Paxton",0
828,"Richard Kelly",219
829,"Carter Smith",27
830,"John Schlesinger",154
831,"Ringo Lam",17
832,"Bruce McCulloch",54
833,"Patricia Riggen",36
834,"Pascal Chaumeil",8
835,"Jonathan Kaplan",57
836,"Ole Bornedal",30
837,"Richard Benjamin",121
838,"Craig R. Baxley",22
839,"John Hillcoat",214
840,"John Guillermin",71
841,"Marcos Siega",32
842,"Rachel Talalay",54
843,"Jeffrey W. Byrd",2
844,"Atom Egoyan",460
845,"Robert Towne",162
846,"Giuseppe Tornatore",911
847,"Werner Herzog",0
848,"Ben Stassen",4
849,"Jí©ríÇme Deschamps",0
850,"Inna Evlannikova",0
851,"Jonathan English",9
852,"Sergey Bondarchuk",27
853,"Teddy Chan",3
854,"Mario Van Peebles",535
855,"Leonard Nimoy",12000
856,"Herbert Ross",71
857,"Bonnie Hunt",597
858,"Neil LaBute",119
859,"Grant Heslov",293
860,"George Gallo",269
861,"Sidney Lumet",0
862,"Douglas McGrath",41
863,"Kevin Spacey",18000
864,"Richard Williams",18
865,"Mary McGuckian",6
866,"Tony Goldwyn",956
867,"Jonathan Newman",3
868,"Michael Dinner",12
869,"Joseph Sargent",114
870,"Jerry Zaks",4
871,"Fred Durst",258
872,"Anne Fontaine",105
873,"Jon Cassar",78
874,"Mira Nair",300
875,"Mel Brooks",0
876,"Russell Crowe",0
877,"Jessie Nelson",24
878,"Christopher Spencer",25
879,"Mike Bigelow",2
880,"Daniel Sackheim",12
881,"Harry Elfont",4
882,"Uli Edel",34
883,"Fred Dekker",87
884,"Brian Trenchard-Smith",53
885,"Blake Edwards",688
886,"Laurence Dunmore",2
887,"Christian Carion",13
888,"David Palmer",21
889,"Rowan Joffe",17
890,"John Curran",43
891,"Juan Josí© Campanella",195
892,"Trey Parker",406
893,"Stuart Gillard",8
894,"Katt Shea",52
895,"Joshua Michael Stern",0
896,"Tomas Alfredson",140
897,"John Duigan",18
898,"Colin Higgins",19
899,"Jim Sonzero",2
900,"Penelope Spheeris",122
901,"Jeff Tremaine",79
902,"Jeannot Szwarc",82
903,"Steve McQueen",0
904,"Thea Sharrock",17
905,"Jon Lucas",24
906,"Aaron Seltzer",64
907,"Robin Budd",2
908,"Ava DuVernay",151
909,"Steve Trenbirth",0
910,"Mennan Yapo",9
911,"Jun Falkenstein",25
912,"Tom McCarthy",310
913,"Takashi Shimizu",70
914,"Gary Nelson",20
915,"Anton Corbijn",210
916,"Gregory Nava",16
917,"John Patrick Shanley",53
918,"Joshua Logan",32
919,"Steve Beck",17
920,"Todd Strauss-Schulson",12
921,"John McNaughton",39
922,"Nelson McCormick",29
923,"Eric Valette",2
924,"Andrew Fleming",26
925,"Michael Spierig",35
926,"Jim Field Smith",14
927,"Thomas Bezucha",15
928,"William Brent Bell",19
929,"Anthony Bell",0
930,"Jessica Bendinger",31
931,"Henry Joost",24
932,"Ed Harris",0
933,"Alfred Hitchcock",13000
934,"Shana Feste",19
935,"Steve Rash",15
936,"Mike Binder",57
937,"Michael J. Bassett",83
938,"Frank Nissen",0
939,"Stephen Chow",0
940,"Peter Hastings",0
941,"Paul Abascal",2
942,"Chris Koch",13
943,"Amy Heckerling",143
944,"Michael Moore",909
945,"George Stevens",126
946,"Billy Ray",53
947,"Mark Mylod",20
948,"James Mather",4
949,"Michael O. Sajbel",6
950,"Charles T. Kanganis",18
951,"Damon Santostefano",4
952,"Bob Clark",84
953,"Dave Borthwick",3
954,"Benson Lee",9
955,"Glen Morgan",17
956,"Mike Leigh",608
957,"Alejandro Monteverde",38
958,"Jonathan Glazer",143
959,"J.C. Chandor",78
960,"Paul Gross",329
961,"Marc Abraham",18
962,"Todd Haynes",162
963,"Mabrouk El Mechri",19
964,"Charlie Kaufman",0
965,"Nancy Walker",42
966,"Angelo Pizzo",14
967,"Matthew Diamond",12
968,"Katsuhiro íîtomo",78
969,"David Anspaugh",25
970,"Andrew Jarecki",46
971,"Daniel Algrant",3
972,"Jane Clark",23
973,"Mike Barker",5
974,"Wayne Thornley",0
975,"Gnana Rajasekaran",0
976,"Tom Walsh",2
977,"Jonathan Jakubowicz",23
978,"Scott Walker",17
979,"Mark Rosman",15
980,"Rob Hawk",97
981,"Britt Allcroft",2
982,"Alan Yuen",0
983,"Brian Percival",33
984,"Anand Tucker",14
985,"Anthony Mann",75
986,"Michael Dowse",31
987,"Daniel Barnz",33
988,"Emile Ardolino",22
989,"Robert Altman",500
990,"James Schamus",44
991,"Andrew Douglas",15
992,"Ricky Gervais",0
993,"Vic Armstrong",179
994,"Terry Zwigoff",72
995,"Audrey Wells",22
996,"Rick Friedberg",8
997,"Sean McNamara",80
998,"Jody Hill",62
999,"Brandon Camp",7
1000,"Kevin Tancharoen",64
